Country,index,Population,Density,Date to reach 1%,total_cases,total_tests,tests_per_case,extreme_poverty,human_development_index,hospital_beds_per_thousand,handwashing_facilities,continent,reproduction_rate,total_deaths,positive_rate,mortality_rate,Climate,Tourism,Date_FirstConfirmedCase,Latitude,Longtitude,Lockdown_Date,Lockdown_Type,GDP 2018,HF score 2017,literacy rate
Mexico,90,129166028,66,2020-12-18,1301546.0,3124220.0,1.4,2.5,0.779,1.38,87.847,North America,0.14,117249.0,0.097,0.09008440731253448,1.0,41313000.0,2020-02-29,23.634501,-102.552784,2020-03-14,Partial,19844.64567,6.65,94.4
Moldova,91,4032294,123,2020-09-08,40556.0,,2.2,0.2,0.75,5.8,86.979,Europe,0.35,1087.0,0.0091,0.026802446000591774,3.0,160000.0,2020-03-09,47.411631,28.369885,2020-03-11,Full,7271.641919,6.93,99.4
Monaco,92,39290,26337,2020-11-03,397.0,,,,,13.8,,Europe,0.65,2.0,,0.005037783375314861,,347000.0,2020-03-01,43.750298,7.412841,2020-03-17,Full,,,
Mongolia,93,3287242,2,2021-04-28,33608.0,2675590.0,1.0,0.5,0.737,7.0,71.18,Asia,0.01,97.0,0.0,0.002886217567245894,1.0,529000.0,2020-03-11,46.862496,103.846656,2020-03-10,Full,13799.90485,7.61,98.4
Montenegro,94,628080,47,2020-09-11,6385.0,,,1.0,0.829,3.861,,Europe,0.56,115.0,,0.018010963194988253,,2077000.0,2020-03-18,42.708678,19.37439,2020-03-24,Full,20689.98675,7.43,98.7
Montserrat,95,4993,50,2022-01-01,50.0,,,,,,,North America,,1.0,,0.02,2.0,,,,,,,,,
Morocco,96,36985624,83,2020-12-04,372620.0,4038601.0,3.9,1.0,0.686,1.1,,Africa,0.31,6136.0,0.0058,0.016467178358649564,,12289000.0,2020-03-03,31.791702,-7.09262,2020-03-16,Full,8611.709833,6.18,72.4
Myanmar,97,54473253,83,2022-02-12,545298.0,6713698.0,9.4,6.4,0.583,0.9,79.287,Asia,0.4,19310.0,0.0011,0.03541182986183702,,,,,,,,6674.028647,5.44,93.1
Namibia,98,2548663,3,2021-01-05,25887.0,217443.0,1.5,13.4,0.646,,44.6,Africa,0.49,222.0,0.0036,0.008575732993394368,1.0,14000.0,2020-03-15,-22.95764,18.49041,2020-03-14,Full,11101.82628,6.75,81.9
Nepal,99,29225196,203,2021-04-23,294601.0,2388200.0,2.2,15.0,0.602,0.3,47.782,Asia,0.29,3122.0,0.003,0.010597384258709238,,1173000.0,2020-01-26,28.394857,84.124008,2020-03-24,Full,3089.556352,6.51,64.7
Netherlands,100,17141544,508,2020-10-10,175360.0,2415773.0,1.4,,0.944,3.32,,Europe,0.36,6589.0,0.031,0.03757413321167883,3.0,18780000.0,2020-02-28,52.132633,5.291266,2020-03-24,Full,56328.94114,8.5,
New Caledonia,101,285972,16,2021-09-18,3401.0,,,,,,,Oceania,,16.0,,0.004704498676859747,2.0,,,,,,,,,
New Zealand,102,4829021,18,2022-02-24,57497.0,6598789.0,,,0.931,2.61,,Oceania,0.84,56.0,,0.000973963858983947,3.0,3686000.0,2020-02-29,-40.900557,174.885971,2020-03-25,Full,41005.42087,8.88,
North Macedonia,103,2083359,83,2020-10-11,20937.0,206824.0,2.5,5.0,0.774,4.28,,Europe,0.42,792.0,0.002,0.037827769021349766,,707000.0,2020-02-27,41.6086,21.7453,2020-03-18,Full,16358.66205,7.34,
Norway,104,5428594,15,2021-01-08,54476.0,2931393.0,1.3,0.2,0.957,3.6,,Europe,0.54,472.0,0.009,0.008664365959321536,3.0,5688000.0,2020-02-27,60.472024,8.468946,2020-03-12,Full,65510.58527,8.44,
Oman,105,5128058,16,2020-07-09,51725.0,1986264.0,1.4,,0.813,1.6,97.4,Asia,0.0,236.0,0.0,0.004562590623489608,1.0,2301000.0,2020-02-25,21.512583,55.923255,2020-03-29,Partial,41859.93448,5.98,94.8
Palau,106,18109,39,2022-01-20,208.0,44992.0,6.5,,0.826,4.8,,Oceania,0.55,1.0,0.0125,0.004807692307692308,2.0,,,,,,,18510.21566,,99.5
Panama,107,4326296,58,2020-07-11,44332.0,158570.0,2.4,2.2,0.815,2.3,,North America,0.52,893.0,0.0218,0.020143462961292068,2.0,1785000.0,2020-03-11,8.537981,-80.782127,2020-03-25,Full,25553.69671,7.69,95
Paraguay,108,7147553,18,2020-11-15,71574.0,402564.0,1.6,1.7,0.728,1.3,79.602,South America,0.17,1587.0,0.0105,0.022172856065051556,2.0,1181000.0,2020-03-09,-23.442503,-58.443832,2020-03-15,Partial,13599.92656,6.9,95.6
Peru,109,33050211,26,2020-07-14,333867.0,1963921.0,3.0,3.5,0.777,1.6,,South America,0.62,45709.0,0.008,0.13690781059523702,1.0,4419000.0,2020-03-07,-9.189967,-75.015152,2020-03-10,Full,14418.07067,7.55,94.5
Philippines,110,109830324,368,2021-05-09,1101990.0,11723343.0,2.2,,0.718,1.0,78.463,Asia,0.35,18472.0,0.003,0.016762402562636683,2.0,7168000.0,2020-01-31,12.879721,121.774017,2020-03-16,Partial,8951.085654,6.88,96.3
Poland,111,37839255,124,2020-11-01,379902.0,4824382.0,2.5,,0.88,6.62,,Europe,0.34,5783.0,0.002,0.015222346815757747,3.0,19622000.0,2020-03-05,51.919438,19.145136,2020-03-12,Full,31336.6035,7.78,99.8
Portugal,112,10191409,111,2020-10-20,103736.0,3136943.0,1.9,0.5,0.864,3.39,,Europe,0.48,2213.0,0.0066,0.021332999151692757,3.0,16186000.0,2020-03-03,39.399872,-8.224454,2020-03-18,Full,33415.4379,8.27,95.4
Qatar,113,2889284,248,2020-05-15,29425.0,10811.0,,,0.848,1.2,,Asia,0.52,14.0,,0.000475785896346644,1.0,1819300.0,2020-03-01,25.354826,51.183884,2020-03-11,Full,126898.4259,6.15,97.8
Romania,114,19214608,84,2020-10-22,196004.0,2735245.0,2.8,5.7,0.828,6.892,,Europe,0.0,6163.0,0.0018,0.03144323585232955,3.0,11720000.0,2020-02-27,45.943161,24.96676,2020-03-25,Full,28206.35705,8.11,98.8
